InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
71467,mL209,Arrive Window,35,2024-07-17,72.9,12,Fiji
15066,Ll688,Line Actually,31,2024-01-28,42.15,74,Saint Barthelemy
44703,Ae358,Girl Two,21,2023-08-20,16.32,33,United States Minor Outlying Islands
71939,Ya034,Recently Bill,10,2024-08-23,23.82,95,Saint Helena
18812,qo515,Upon Ready,16,2025-04-28,52.76,79,Qatar
45934,eA168,Threat Others,31,2024-09-21,79.42,87,Congo
76734,Sw393,Middle Daughter,36,2023-10-24,29.94,38,Norway
67086,CQ851,Specific Organization,22,2024-03-10,27.15,71,Zambia
45812,FG270,Hotel See,44,2024-01-04,95.7,23,Costa Rica
45701,EO264,Person Remain,18,2023-09-18,45.19,48,Norfolk Island
14069,dK085,Mean Discussion,17,2025-02-09,93.82,47,Kiribati
39512,Au037,Heavy Method,20,2025-07-03,71.44,43,Sweden
65113,ue099,Kind Drug,13,2023-08-15,27.26,42,Botswana
49554,bP282,Staff Building,25,2024-09-07,19.75,22,Guatemala
23356,vC029,Letter Mention,12,2025-08-03,36.93,50,Chad
97146,Xv646,Left Sister,33,2024-01-10,86.57,21,Zimbabwe
88268,Rb461,Program Inside,12,2023-10-01,48.42,5,Libyan Arab Jamahiriya
52225,ho856,Medical Certainly,2,2024-01-24,6.61,2,Reunion
99167,ZA061,Window To,36,2024-07-31,13.57,14,Botswana
70297,WV665,Lay Certain,19,2024-04-23,62.3,55,Norfolk Island
94811,le415,Movie Money,4,2024-05-08,83.0,31,Guinea
10949,ax859,War Rather,41,2024-01-27,89.03,73,Saint Barthelemy
23358,za192,Own Source,38,2025-06-25,3.6,23,Faroe Islands
97348,fQ133,Since Little,29,2024-12-08,1.55,89,Algeria
20609,lN528,Lose Difficult,37,2025-01-07,4.92,95,El Salvador
50904,ae139,Whatever Though,30,2024-08-05,48.94,33,Uzbekistan
83569,KT935,Would Community,31,2024-08-20,52.49,67,French Polynesia
60988,RJ573,Serve For,14,2023-10-22,54.2,24,Saint Barthelemy
23454,NO458,Professional Develop,24,2024-03-06,87.61,47,Isle of Man
16167,QW157,Such Leave,8,2025-02-27,3.61,17,Aruba
12673,bQ507,Past Out,16,2025-03-19,44.92,77,Western Sahara
44808,Cz958,Enter Who,27,2024-01-23,31.89,24,Wallis and Futuna
70082,WC539,Western Commercial,32,2025-03-18,27.09,91,Tokelau
34690,RU596,Energy Three,24,2024-02-20,22.51,63,Bulgaria
28513,Zh116,Race Consumer,1,2024-08-08,36.66,52,Saudi Arabia
78458,He017,Activity Measure,35,2024-01-24,91.0,76,South Georgia and the South Sandwich Islands
34136,Zb271,Research Practice,4,2023-08-26,87.25,50,Mauritius
16454,ow259,Information Foot,26,2024-04-02,67.58,61,Namibia
23483,OA479,Protect Structure,25,2025-02-26,92.09,99,United Kingdom
