TransactionID,Items
1,"['butter', 'fish', 'banana', 'chicken']"
2,"['bread', 'pasta', 'onions', 'diapers', 'cheese', 'coffee', 'butter', 'eggs']"
3,"['tomato', 'coffee', 'chicken', 'chocolate']"
4,"['milk', 'bread', 'onions', 'eggs', 'tomato']"
5,"['chicken', 'butter', 'coffee', 'milk', 'beef', 'diapers', 'apple', 'grapes']"
6,"['tomato', 'pasta', 'butter']"
7,"['banana', 'chocolate', 'coffee']"
8,"['eggs', 'onions', 'grapes', 'chocolate', 'cheese']"
9,"['beef', 'chicken', 'banana', 'diapers']"
10,"['eggs', 'chicken', 'grapes', 'milk', 'butter', 'beef']"
11,"['apple', 'bread', 'cheese', 'tea', 'milk']"
12,"['tomato', 'chicken', 'bread', 'cheese', 'beer', 'pasta']"
13,"['fish', 'tomato', 'grapes', 'tea', 'diapers', 'milk', 'coffee']"
14,"['beer', 'diapers', 'fish']"
15,"['tea', 'coffee', 'pasta', 'fish', 'eggs', 'tomato', 'chocolate']"
16,"['beer', 'beef', 'coffee', 'milk']"
17,"['apple', 'fish', 'beer', 'grapes', 'eggs', 'rice', 'milk']"
18,"['milk', 'onions', 'eggs', 'apple', 'grapes', 'tea']"
19,"['onions', 'coffee', 'tea', 'cheese', 'diapers', 'chocolate']"
20,"['tea', 'beef', 'coffee', 'beer', 'bread', 'onions']"
21,"['onions', 'apple', 'butter', 'beer', 'chocolate', 'rice']"
22,"['cheese', 'chicken', 'onions', 'beer']"
23,"['beef', 'milk', 'beer', 'banana', 'chocolate', 'coffee']"
24,"['apple', 'onions', 'tea', 'milk']"
25,"['onions', 'tea', 'fish', 'apple']"
26,"['rice', 'onions', 'beer', 'tomato', 'pasta', 'fish', 'chocolate']"
27,"['rice', 'chocolate', 'beef', 'bread', 'pasta', 'apple']"
28,"['beef', 'milk', 'eggs', 'cheese', 'rice']"
29,"['cheese', 'fish', 'coffee', 'apple', 'grapes', 'bread', 'chicken', 'tomato']"
30,"['banana', 'rice', 'milk', 'bread', 'tomato', 'butter', 'eggs']"
