InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
40330,jE690,Prevent Station,7,2024-09-21,79.37,34,Bolivia
84535,dh830,Conference Short,5,2025-04-06,55.73,59,Cape Verde
28647,TR953,Lead Stock,34,2023-09-07,44.1,42,British Indian Ocean Territory (Chagos Archipelago)
12264,kh598,Section War,44,2023-09-16,80.8,64,Netherlands Antilles
38327,AN786,Small Save,18,2024-10-22,52.04,17,Russian Federation
50479,NB552,Them Grow,1,2025-07-07,21.27,23,Isle of Man
43064,BU218,Add Former,41,2024-01-25,2.03,36,Luxembourg
70186,Db875,Project Test,26,2025-07-17,11.92,100,Saint Helena
10882,Nz076,Decade Air,3,2024-10-20,24.97,55,Barbados
20030,Ip436,Key Light,26,2025-08-10,51.45,84,Gambia
93641,bS760,Son Result,8,2024-07-22,37.5,38,Croatia
24854,Nm847,Personal What,45,2025-03-26,60.28,85,Afghanistan
41721,Pl147,Natural Institution,30,2024-06-19,4.33,15,Guyana
16601,in392,Area Make,17,2024-03-31,10.42,17,Fiji
11192,GT961,Inside Sit,27,2025-05-04,65.97,85,Canada
14121,pA997,Suffer Somebody,18,2025-02-21,34.35,37,Qatar
23268,iF480,Himself Suggest,8,2024-01-21,69.89,81,Panama
60131,Kh705,Entire Drop,47,2025-05-30,77.38,38,Ireland
97028,rk067,Together View,48,2024-11-13,96.73,44,Sudan
15699,bc647,Relate Week,40,2025-06-18,39.64,8,Senegal
16160,MS740,Discussion Do,32,2025-07-24,28.05,92,Madagascar
65910,yd208,Any Staff,48,2024-01-24,50.17,64,Japan
49408,Sc152,Eye House,18,2024-08-20,20.02,89,Tokelau
21174,Cv578,Former Sound,48,2025-03-28,82.74,8,Timor-Leste
37073,xM164,Compare Everything,32,2023-12-03,38.89,19,Montenegro
93383,AS796,Movie Number,13,2023-12-02,76.47,4,Turkey
13760,vS267,Pretty Himself,33,2025-02-02,98.93,20,Hungary
81332,hU235,Represent Apply,24,2025-05-09,8.59,74,Korea
39763,jH747,Leader Friend,5,2025-05-12,96.04,4,Philippines
65448,be014,Others They,38,2024-03-16,16.14,79,Jersey
49219,ZX201,Century Continue,35,2023-09-06,70.3,98,Ghana
43314,vy525,Born Factor,22,2023-08-25,22.01,54,Yemen
69614,RH696,Forget Natural,23,2024-02-15,15.03,32,Gabon
84458,SP088,Seek Marriage,49,2023-09-22,42.92,55,Sao Tome and Principe
66746,xh766,Discuss Environmental,47,2024-01-16,89.3,81,Tanzania
46381,eF054,Skin Area,17,2024-09-27,52.61,25,Monaco
61405,Nh002,Modern Agree,40,2025-01-26,35.79,39,Bermuda
60596,Bt868,Where Act,30,2024-09-25,71.24,56,Mauritius
41705,Sy943,Course Million,42,2024-06-21,28.1,61,Mayotte
59836,zO918,World History,5,2025-06-12,51.36,33,Pitcairn Islands
80178,oE717,Ball Particular,32,2023-09-28,46.98,8,Jersey
10702,wA960,Note Arrive,1,2023-08-22,62.96,64,Congo
42719,id473,American Million,31,2024-12-24,74.52,46,Montserrat
35212,vU544,Notice Nice,46,2025-05-09,63.94,34,Northern Mariana Islands
56354,Uk848,Measure Phone,17,2024-07-11,33.26,16,Spain
80676,el035,Throughout Item,13,2023-08-27,17.12,28,Trinidad and Tobago
25665,NP847,Another Feeling,7,2024-03-28,30.57,34,Paraguay
32971,lP052,Fire Actually,30,2024-02-24,53.0,26,Guinea
66606,kL408,By Late,41,2024-08-10,98.9,28,Luxembourg
46859,UA371,Dream Hot,9,2024-09-28,39.88,11,Bolivia
90481,RR612,Development Seven,40,2024-09-07,92.34,48,Vanuatu
44272,Db245,Kid Me,28,2024-06-06,26.84,49,Sudan
78168,jp888,Edge Dog,13,2025-01-29,54.51,67,Western Sahara
23591,Ni053,Friend Describe,33,2023-08-24,44.23,11,Finland
27491,Zg847,Son Consider,14,2024-11-19,94.08,18,Uganda
22655,Vm413,Work Last,48,2024-06-19,60.3,95,United Kingdom
52747,MQ629,Them Painting,30,2023-11-15,89.98,5,Libyan Arab Jamahiriya
26742,pf750,Story Operation,34,2024-01-30,29.67,5,Honduras
81538,GN112,Quality Might,41,2025-07-26,69.7,25,Egypt
93860,cO450,Physical Phone,38,2023-09-07,56.74,82,Sudan
41669,hi169,Long Research,49,2025-03-14,66.94,31,Tanzania
44680,Su405,Speech Wind,23,2025-02-02,55.3,84,Belarus
12234,jX013,Group Example,7,2025-02-05,16.12,23,South Georgia and the South Sandwich Islands
52185,bT553,Area Yourself,5,2024-11-12,81.22,70,Hungary
62510,YA928,Guess Baby,17,2023-11-23,28.75,42,Niger
